id,Category,SubCategory,Item Name, Description , Details ,Part Number,Vendor,Minimum Qty,increments,Maximum Qty,Weight,notes,mediawideid,project id,active,expiry,group options,Product Group,units
1,Janitorial,Cleaning Supplies,CLEANER GLASS PRO-CON BLUE, Reflect Glass Cleaner *12 CS , Reflect Glass Cleaner *12 CS ,147REFLECTQT,1,1,1,50000,1, Noble Chemical ,,,N,,,,.5 GAL
2,Janitorial,Cleaning Supplies,CLEANER DEGREASER PRO-CON RED,CLEANER DEGREASER PRO-CON RED,CLEANER DEGREASER PRO-CON RED,,1,1,1,50000,1,INTERCON,,,N,,,,.5 GAL
3,Janitorial,Cleaning Supplies,CLEANER FLOOR PRO-CON SHOCK REDUCE SLIP,CLEANER FLOOR PRO-CON SHOCK REDUCE SLIP,CLEANER FLOOR PRO-CON SHOCK REDUCE SLIP,,1,1,1,50000,1,INTERCON,,,N,,,,.5 GAL
4,Janitorial,Cleaning Supplies,DETERGENT POT & PAN PREMIUM SUNRISE,DETERGENT POT & PAN PREMIUM SUNRISE,DETERGENT POT & PAN PREMIUM SUNRISE,,1,1,1,50000,1,INTERCON,,,N,,,,1 GAL
5,Janitorial,Cleaning Supplies,PRE-SOAK LIQUID ULTRA SOAK SILVERWARE,PRE-SOAK LIQUID ULTRA SOAK SILVERWARE,PRE-SOAK LIQUID ULTRA SOAK SILVERWARE,,1,1,1,50000,1,INTERCON,,,N,,,,1 GAL
6,Janitorial,Cleaning Supplies,SANITIZER LOW TEMP OPTI-PAK,SANITIZER LOW TEMP OPTI-PAK,SANITIZER LOW TEMP OPTI-PAK,,1,1,1,50000,1,INTERCON,,,N,,,,1 GAL
7,Janitorial,Cleaning Supplies,SANITIZER NO RINSE OPTI-PAK THIRD SINK,SANITIZER NO RINSE OPTI-PAK THIRD SINK,SANITIZER NO RINSE OPTI-PAK THIRD SINK,,1,1,1,50000,1,INTERCON,,,N,,,,1 GAL
8,Janitorial,Cleaning Supplies,DETERGENT OPTI-PAK DISHMACHINE,DETERGENT OPTI-PAK DISHMACHINE,DETERGENT OPTI-PAK DISHMACHINE,,1,1,1,50000,1,INTERCON,,,N,,,,1 GAL
9,Janitorial,Cleaning Supplies,RINSE AID OPTI-PAK DISH MACHINE,RINSE AID OPTI-PAK DISH MACHINE,RINSE AID OPTI-PAK DISH MACHINE,,1,1,1,50000,1,INTERCON,,,N,,,,1 GAL
10,Janitorial,Cleaning Supplies,BLEACH GERMICIDAL CONCENTRATED,BLEACH GERMICIDAL CONCENTRATED,BLEACH GERMICIDAL CONCENTRATED,,1,1,1,50000,1,CLOROX,,,N,,,,121 OZ
