id, Qty range start , Qty range end , Cost per unit , Sell per unit 
1,,,31.99,41.59
2,,,55.25,60.78
3,,,76.25,83.88
4,,,94.75,104.23
5,,,85.75,94.33
6,,,23.25,25.58
7,,,73.75,81.13
8,,,133.50,146.85
9,,,174.25,191.68
10,,,13.85,15.24
11,,,29.97,32.97
12,,,40.80,57.12
13,,,121.50,133.65
14,,,57.15,80.01
15,,,8.59,12.03
16,,,38.49,50.04
17,,,39.99,55.99
18,,,16.49,19.79
19,,,14.49,20.29
20,,,33.49,40.19
21,,,27.99,39.19
22,,,2.69,2.96
23,,,26.94,29.63
24,,,21.99,30.79
25,,,79.99,103.99
26,,,56.99,68.39
27,,,16.49,23.09
28,,,16.99,22.09
29,,,44.99,58.49
30,,,31.99,41.59
31,,,24.49,31.84
32,,,25.49,33.14
33,,,18.06,19.87
34,,,19.49,23.39
35,,,19.49,25.34
36,,,20.99,29.39
37,,,21.99,28.59
38,,,13.31,14.64
39,,,11.99,14.99
40,,,12.99,16.24
41,,,68.99,82.79
42,,,22.49,29.24
43,,,21.99,28.59
44,,,1.79,2.33
45,,,22.49,24.74
46,,,25.49,28.04
47,,,5.89,6.48
48,,,7.49,9.36
49,,,1.79,2.33
50,,,7.89,8.68
51,,,62.40,68.64
52,,,2.99,3.89
53,,,0.99,1.29
54,,,16.99,22.09
55,,,18.99,26.59
56,,,8.95,9.85
57,,,3.29,3.62
58,,,18.49,21.26
59,,,2.59,2.85
60,,,0.79,0.87
61,,,4.39,5.05
62,,,2.49,2.74
63,,,6.29,7.23
64,,,3.19,3.51
65,,,1.69,2.37
66,,,2.59,2.85
67,,,6.19,8.67
68,,,6.29,7.23
69,,,15.99,17.59
70,,,37.49,48.74
71,,,8.09,10.52
72,,,22.49,31.49
73,,,9.99,12.99
74,,,4.19,5.87
75,,,9.29,12.08
76,,,18.49,24.04
77,,,6.89,8.96
78,,,5.69,7.40
79,,,3.59,4.67
80,,,16.49,23.09
81,,,2.59,3.37
82,,,9.89,10.88
83,,,10.49,13.64
84,,,32.99,46.19
85,,,5.99,6.59
86,,,4.39,5.71
87,,,14.97,19.46
88,,,245.99,319.79
89,,,8.99,11.69
90,,,117.99,129.79
91,,,75.99,106.39
92,,,97.99,127.39
93,,,19.99,25.99
94,,,7.69,10.00
95,,,1.29,1.68
96,,,7.79,10.13
97,,,29.99,38.99
98,,,9.39,12.21
99,,,103.99,135.19
100,,,9.49,12.34
101,,,10.99,14.29
102,,,10.99,14.29
103,,,154.78,201.21
104,,,1519.00,1974.70
105,,,679.00,882.70
106,,,9.09,11.82
107,,,25.49,33.14
108,,,13.49,17.54
109,,,2.74,3.56
110,,,2.19,2.85
111,,,79.99,103.99
112,,,349.99,454.99
113,,,39.17,48.96
114,,,11.49,14.94
115,,,11.49,14.94
116,,,97.99,127.39
117,,,119.88,143.86
118,,,4.49,6.29
119,,,13.99,18.19
120,,,17.49,22.74
121,,,13.99,18.19
122,,,52.99,68.89
123,,,14.99,19.49
124,,,19.99,25.99
125,,,3.79,4.93
126,,,6.99,9.09
127,,,4.79,6.23
128,,,25.49,33.14
129,,,121.10,133.21
130,,,63.63,69.99
131,,,108.14,118.95
132,,,4.08,4.49
133,,,4.43,4.87
134,,,3.61,3.97
135,,,4.15,4.57
136,,,165.99,182.59
137,,,68.00,81.60
138,,,70.00,84.00
139,,,59.00,70.80
140,,,365.47,402.02
141,,,3.39,4.07
142,,,12.19,14.63
143,,,4.79,5.75
144,,,30.99,35.64
145,,,1.29,1.55
146,,,4.89,5.87
147,,,14.99,17.99
148,,,21.74,23.91
149,,,2.39,3.11
150,,,2.49,3.24
151,,,3571.61,3928.77
152,,,3.19,3.83
153,,,7.29,8.75
154,,,6.99,8.39
155,,,2.29,2.98
156,,,4.49,5.84
157,,,29.88,35.86
158,,,43.74,52.49
159,,,9.49,11.39
160,,,84.99,101.99
161,,,31.99,38.39
162,,,649.00,746.35
163,,,24.99,29.99
164,,,77.99,101.39
165,,,24.99,29.99
166,,,79.99,95.99
167,,,6.19,8.05
168,,,118.99,142.79
