PMSId,"Serivce ID","Material ID","Colour Name"
871,MetallicInkMix,MetallicInk,
872,MetallicInkMix,MetallicInk,
873,MetallicInkMix,MetallicInk,
874,MetallicInkMix,MetallicInk,
875,MetallicInkMix,MetallicInk,
876,MetallicInkMix,MetallicInk,
877,MetallicInkMix,MetallicInk,
8001,MetallicInkMix,MetallicInk,
8002,MetallicInkMix,MetallicInk,
8003,MetallicInkMix,MetallicInk,
8004,MetallicInkMix,MetallicInk,
8005,MetallicInkMix,MetallicInk,
8020,MetallicInkMix,MetallicInk,
8021,MetallicInkMix,MetallicInk,
8022,MetallicInkMix,MetallicInk,
8023,MetallicInkMix,MetallicInk,
8040,MetallicInkMix,MetallicInk,
8041,MetallicInkMix,MetallicInk,
8042,MetallicInkMix,MetallicInk,
8043,MetallicInkMix,MetallicInk,
8060,MetallicInkMix,MetallicInk,
8061,MetallicInkMix,MetallicInk,
8062,MetallicInkMix,MetallicInk,
8063,MetallicInkMix,MetallicInk,
8080,MetallicInkMix,MetallicInk,
8081,MetallicInkMix,MetallicInk,
8082,MetallicInkMix,MetallicInk,
8083,MetallicInkMix,MetallicInk,
8100,MetallicInkMix,MetallicInk,
8101,MetallicInkMix,MetallicInk,
8102,MetallicInkMix,MetallicInk,
8103,MetallicInkMix,MetallicInk,
8120,MetallicInkMix,MetallicInk,
8121,MetallicInkMix,MetallicInk,
8122,MetallicInkMix,MetallicInk,
8123,MetallicInkMix,MetallicInk,
8140,MetallicInkMix,MetallicInk,
8141,MetallicInkMix,MetallicInk,
8142,MetallicInkMix,MetallicInk,
8143,MetallicInkMix,MetallicInk,
8160,MetallicInkMix,MetallicInk,
8161,MetallicInkMix,MetallicInk,
8162,MetallicInkMix,MetallicInk,
8163,MetallicInkMix,MetallicInk,
8180,MetallicInkMix,MetallicInk,
8181,MetallicInkMix,MetallicInk,
8182,MetallicInkMix,MetallicInk,
8183,MetallicInkMix,MetallicInk,
8200,MetallicInkMix,MetallicInk,
8201,MetallicInkMix,MetallicInk,
8202,MetallicInkMix,MetallicInk,
8203,MetallicInkMix,MetallicInk,
8221,MetallicInkMix,MetallicInk,
8222,MetallicInkMix,MetallicInk,
8223,MetallicInkMix,MetallicInk,
8240,MetallicInkMix,MetallicInk,
8241,MetallicInkMix,MetallicInk,
8242,MetallicInkMix,MetallicInk,
8243,MetallicInkMix,MetallicInk,
8260,MetallicInkMix,MetallicInk,
8261,MetallicInkMix,MetallicInk,
8262,MetallicInkMix,MetallicInk,
8263,MetallicInkMix,MetallicInk,
8280,MetallicInkMix,MetallicInk,
8281,MetallicInkMix,MetallicInk,
8282,MetallicInkMix,MetallicInk,
8283,MetallicInkMix,MetallicInk,
8300,MetallicInkMix,MetallicInk,
8301,MetallicInkMix,MetallicInk,
8302,MetallicInkMix,MetallicInk,
8303,MetallicInkMix,MetallicInk,
8320,MetallicInkMix,MetallicInk,
8321,MetallicInkMix,MetallicInk,
8322,MetallicInkMix,MetallicInk,
8323,MetallicInkMix,MetallicInk,
8340,MetallicInkMix,MetallicInk,
8341,MetallicInkMix,MetallicInk,
8342,MetallicInkMix,MetallicInk,
8343,MetallicInkMix,MetallicInk,
8360,MetallicInkMix,MetallicInk,
8361,MetallicInkMix,MetallicInk,
8362,MetallicInkMix,MetallicInk,
8363,MetallicInkMix,MetallicInk,
8380,MetallicInkMix,MetallicInk,
8381,MetallicInkMix,MetallicInk,
8382,MetallicInkMix,MetallicInk,
8383,MetallicInkMix,MetallicInk,
8400,MetallicInkMix,MetallicInk,
8401,MetallicInkMix,MetallicInk,
8042,MetallicInkMix,MetallicInk,
8403,MetallicInkMix,MetallicInk,
8420,MetallicInkMix,MetallicInk,
8421,MetallicInkMix,MetallicInk,
8422,MetallicInkMix,MetallicInk,
8423,MetallicInkMix,MetallicInk,
8460,MetallicInkMix,MetallicInk,
8461,MetallicInkMix,MetallicInk,
8462,MetallicInkMix,MetallicInk,
8463,MetallicInkMix,MetallicInk,
8480,MetallicInkMix,MetallicInk,
8481,MetallicInkMix,MetallicInk,
8482,MetallicInkMix,MetallicInk,
8483,MetallicInkMix,MetallicInk,
